"No.","Ticker","Company","Sector","Industry","Market Cap","EPS Surprise","Short Interest","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (Week)","Performance (Month)","Change from Open","Volume","Price","Change"
274,"TRI","Thomson-Reuters Corp","Industrials","Specialty Business Services",45783.75,3.32%,12.73,0.00%,1.18%,1.18%,-0.51%,5.52%,-3.52%,1279924,105.68,-5.44%
275,"TTAN","ServiceTitan Inc","Technology","Software - Application",8387.35,34.06%,7.25,-0.05%,-0.05%,-0.99%,-11.97%,2.72%,-3.98%,1420352,87.92,-5.56%
276,"ZETA","Zeta Global Holdings Corp","Technology","Software - Infrastructure",7869.28,10.93%,23.18,-0.22%,-0.06%,-0.22%,2.65%,22.65%,-3.98%,4785872,31.35,-4.07%
277,"BSP","Bending Spoons S.p.A","Technology","Software - Application",25141.98,89.38%,14.27,0.00%,0.00%,0.00%,-9.20%,-12.34%,-4.23%,1057902,39.58,-5.06%
278,"DASH","DoorDash Inc","Consumer Cyclical","Internet Retail",91747.67,-1.73%,16.17,0.06%,0.02%,-0.05%,-10.56%,-0.72%,-4.41%,4171916,211.73,-4.63%
279,"SNOW","Snowflake Inc","Technology","Software - Application",116866.59,38.76%,18.81,0.01%,0.01%,0.02%,2.80%,6.03%,-4.65%,8451643,337.18,-5.41%
280,"WIX","Wix.com Ltd","Technology","Software - Infrastructure",3189.35,23.34%,5.78,-0.46%,-0.46%,-0.71%,-13.02%,25.18%,-4.74%,1747017,76.21,-6.15%
281,"VSNT","Versant Media Group Inc","Communication Services","Entertainment",5358.77,10.37%,5.24,0.00%,0.00%,0.00%,-5.88%,1.02%,-5.25%,1387570,38.61,-5.76%
282,"MRNA","Moderna Inc","Healthcare","Biotechnology",58108.78,3.06%,52.81,0.08%,0.13%,0.01%,5.48%,170.24%,-5.25%,14966547,145.55,-2.23%
283,"WDAY","Workday Inc","Technology","Software - Application",47185.39,5.32%,20.12,-0.19%,-0.23%,-0.19%,-4.36%,15.01%,-5.39%,2864986,195.79,-5.38%
284,"ETSY","Etsy Inc","Consumer Cyclical","Internet Retail",7022.22,31.19%,9.72,-0.06%,0.64%,0.00%,-8.47%,-6.99%,-6.34%,3077319,76.51,-6.73%
285,"IOT","Samsara Inc","Technology","Software - Infrastructure",23497.44,25.00%,28.71,-0.17%,0.00%,-0.02%,-2.33%,5.18%,-10.47%,25610012,40.20,3.74%
