No.,Ticker,Company,Sector,Industry
724,JPC,Nuveen Preferred & Income Opportunities Fund,Financial,Closed-End Fund - Debt
725,JPM,JPMorgan Chase & Co,Financial,Banks - Diversified
726,KBH,KB Home,Consumer Cyclical,Residential Construction
727,KBR,KBR Inc,Industrials,Engineering & Construction
728,KC,Kingsoft Cloud Holdings Ltd ADR,Technology,Software - Application
729,KD,Kyndryl Holdings Inc,Technology,Information Technology Services
730,KDP,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic
731,KEX,Kirby Corp,Industrials,Marine Shipping
732,KEY,Keycorp,Financial,Banks - Regional
733,KEYS,Keysight Technologies Inc,Technology,Scientific & Technical Instruments
734,KGC,Kinross Gold Corp,Basic Materials,Gold
735,KGS,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services
736,KHC,Kraft Heinz Co,Consumer Defensive,Packaged Foods
737,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail
738,KKR,KKR & Co. Inc,Financial,Asset Management
739,KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials
740,KLAR,Klarna Group plc,Technology,Software - Infrastructure
741,KMB,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products
742,KMI,Kinder Morgan Inc,Energy,Oil & Gas Midstream
743,KMT,Kennametal Inc,Industrials,Tools & Accessories
744,KMX,Carmax Inc,Consumer Cyclical,Auto & Truck Dealerships
745,KNTK,Kinetik Holdings Inc,Energy,Oil & Gas Midstream
746,KNX,Knight-Swift Transportation Holdings Inc,Industrials,Trucking
747,KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic
748,KR,Kroger Co,Consumer Defensive,Grocery Stores
749,KRC,Kilroy Realty Corp,Real Estate,REIT - Office
750,KRG,Kite Realty Group Trust,Real Estate,REIT - Retail
751,KRMN,Karman Holdings Inc,Industrials,Aerospace & Defense
752,KT,KT Corporation ADR,Communication Services,Telecom Services
753,KTB,Kontoor Brands Inc,Consumer Cyclical,Apparel Manufacturing
754,KTOS,Kratos Defense & Security Solutions Inc,Industrials,Aerospace & Defense
755,KVUE,Kenvue Inc,Consumer Defensive,Household & Personal Products
756,KVYO,Klaviyo Inc,Technology,Software - Application
757,KYIV,Kyivstar Group Ltd,Communication Services,Telecom Services
758,KYMR,Kymera Therapeutics Inc,Healthcare,Biotechnology
759,LASR,nLIGHT Inc,Technology,Semiconductors
760,LAUR,Laureate Education Inc,Consumer Defensive,Education & Training Services
761,LAZ,Lazard Inc,Financial,Capital Markets
762,LBRDK,Liberty Broadband Corp,Communication Services,Telecom Services
763,LBRT,Liberty Energy Inc,Energy,Oil & Gas Equipment & Services
764,LBTYA,Liberty Global Ltd,Communication Services,Telecom Services
765,LBTYK,Liberty Global Ltd,Communication Services,Telecom Services
766,LCID,Lucid Group Inc,Consumer Cyclical,Auto Manufacturers
767,LDOS,Leidos Holdings Inc,Technology,Information Technology Services
768,LEGN,Legend Biotech Corp ADR,Healthcare,Biotechnology
769,LEN,Lennar Corp,Consumer Cyclical,Residential Construction
770,LEU,Centrus Energy Corp,Energy,Uranium
771,LEVI,Levi Strauss & Co,Consumer Cyclical,Apparel Manufacturing
772,LFST,LifeStance Health Group Inc,Healthcare,Medical Care Facilities
773,LGN,Legence Corp,Industrials,Engineering & Construction
774,LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense
775,LI,Li Auto Inc ADR,Consumer Cyclical,Auto Manufacturers
776,LIF,Life360 Inc,Technology,Software - Application
777,LIN,Linde Plc,Basic Materials,Specialty Chemicals
778,LINE,Lineage Inc,Real Estate,REIT - Industrial
779,LION,Lionsgate Studios Corp,Financial,Shell Companies
780,LITE,Lumentum Holdings Inc,Technology,Communication Equipment
781,LKQ,LKQ Corp,Consumer Cyclical,Auto Parts
782,LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General
783,LMND,Lemonade Inc,Financial,Insurance - Property & Casualty
784,LMT,Lockheed Martin Corp,Industrials,Aerospace & Defense
785,LNC,Lincoln National Corp,Financial,Insurance - Life
786,LNG,Cheniere Energy Inc,Energy,Oil & Gas Midstream
787,LNT,Alliant Energy Corp,Utilities,Utilities - Regulated Electric
788,LNTH,Lantheus Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic
789,LOAR,Loar Holdings Inc,Industrials,Aerospace & Defense
790,LOGI,Logitech International S.A,Technology,Computer Hardware
791,LOW,"Lowe's Cos., Inc",Consumer Cyclical,Home Improvement Retail
792,LPL,LG Display Co Ltd. ADR,Technology,Consumer Electronics
793,LPLA,LPL Financial Holdings Inc,Financial,Capital Markets
794,LPX,Louisiana-Pacific Corp,Industrials,Building Products & Equipment
795,LQDA,Liquidia Corp,Healthcare,Drug Manufacturers - Specialty & Generic
796,LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials
797,LRN,Stride Inc,Consumer Defensive,Education & Training Services
798,LSCC,Lattice Semiconductor Corp,Technology,Semiconductors
799,LTH,Life Time Group Holdings Inc,Consumer Cyclical,Leisure
800,LTM,LATAM Airlines Group S.A. ADR,Industrials,Airlines
801,LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail
802,LUMN,Lumen Technologies Inc,Communication Services,Telecom Services
803,LUNR,Intuitive Machines Inc,Industrials,Aerospace & Defense
804,LUV,Southwest Airlines Co,Industrials,Airlines
805,LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos
806,LW,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods
807,LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals
808,LYFT,Lyft Inc,Technology,Software - Application
809,LYG,Lloyds Banking Group plc ADR,Financial,Banks - Regional
810,LYV,Live Nation Entertainment Inc,Communication Services,Entertainment
811,M,Macy's Inc,Consumer Cyclical,Department Stores
812,MA,Mastercard Incorporated,Financial,Credit Services
813,MAA,"Mid-America Apartment Communities, Inc",Real Estate,REIT - Residential
814,MAC,Macerich Co,Real Estate,REIT - Retail
815,MANH,"Manhattan Associates, Inc",Technology,Software - Application
816,MAR,"Marriott International, Inc",Consumer Cyclical,Lodging
817,MARA,MARA Holdings Inc,Financial,Capital Markets
818,MAS,Masco Corp,Industrials,Building Products & Equipment
819,MASI,Masimo Corp,Healthcare,Medical Devices
820,MAT,"Mattel, Inc",Consumer Cyclical,Leisure
821,MBLY,Mobileye Global Inc,Consumer Cyclical,Auto Parts
822,MC,Moelis & Co,Financial,Capital Markets
823,MCD,McDonald's Corp,Consumer Cyclical,Restaurants
824,MCHP,"Microchip Technology, Inc",Technology,Semiconductors
825,MCO,Moody's Corp,Financial,Financial Data & Stock Exchanges
826,MCW,Mister Car Wash Inc,Consumer Cyclical,Auto & Truck Dealerships
827,MDB,MongoDB Inc,Technology,Software - Infrastructure
828,MDLN,Medline Inc,Healthcare,Medical Instruments & Supplies
829,MDLZ,Mondelez International Inc,Consumer Defensive,Confectioners
830,MDT,Medtronic Plc,Healthcare,Medical Devices
831,MDU,MDU Resources Group Inc,Utilities,Utilities - Regulated Gas
832,MET,Metlife Inc,Financial,Insurance - Life
833,META,Meta Platforms Inc,Communication Services,Internet Content & Information
834,MFC,Manulife Financial Corp,Financial,Insurance - Life
835,MFG,"Mizuho Financial Group, Inc. ADR",Financial,Banks - Regional
836,MGA,Magna International Inc,Consumer Cyclical,Auto Parts
837,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos
838,MGY,Magnolia Oil & Gas Corp,Energy,Oil & Gas E&P
839,MHK,"Mohawk Industries, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
840,MIAX,Miami International Holdings Inc,Financial,Capital Markets
841,MICC,Magnum Ice Cream Company N.V,Consumer Defensive,Packaged Foods
842,MIR,Mirion Technologies Inc,Industrials,Specialty Industrial Machinery
843,MIRM,Mirum Pharmaceuticals Inc,Healthcare,Biotechnology
844,MKC,"McCormick & Co., Inc",Consumer Defensive,Packaged Foods
845,MKSI,MKS Inc,Technology,Scientific & Technical Instruments
846,MLCO,Melco Resorts & Entertainment Ltd ADR,Consumer Cyclical,Resorts & Casinos
847,MLI,"Mueller Industries, Inc",Industrials,Metal Fabrication
848,MLYS,Mineralys Therapeutics Inc,Healthcare,Biotechnology
849,MMM,3M Co,Industrials,Conglomerates
850,MMYT,MakeMyTrip Ltd,Consumer Cyclical,Travel Services
851,MNDY,Monday.Com Ltd,Technology,Software - Application
852,MNST,Monster Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic
853,MO,Altria Group Inc,Consumer Defensive,Tobacco
854,MOD,Modine Manufacturing Co,Consumer Cyclical,Auto Parts
855,MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans
856,MOS,Mosaic Company,Basic Materials,Agricultural Inputs
857,MP,MP Materials Corporation,Basic Materials,Other Industrial Metals & Mining
858,MPC,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing
859,MPLX,MPLX LP,Energy,Oil & Gas Midstream
860,MPT,Medical Properties Trust Inc,Real Estate,REIT - Healthcare Facilities
861,MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General
862,MRNA,Moderna Inc,Healthcare,Biotechnology
863,MRP,Millrose Properties Inc,Real Estate,REIT - Residential
